Produktname,SKU,Preis (€),Verfügbarkeit
Haribo Goldbären,SKU1521,1.49,Ja
Trolli Gummi Bears,SKU1522,1.29,Ja
Milka Schokolade,SKU1523,1.99,Ja
KitKat Riegel,SKU1524,0.79,Ja
M&M's Schokolinsen,SKU1525,1.99,Ja
Lindt Lindor Kugeln,SKU1526,3.49,Ja
Kinder Bueno,SKU1527,1.79,Ja
Twix Riegel,SKU1528,0.99,Ja
Skittles Fruchtgummi,SKU1529,1.29,Ja
Snickers Riegel,SKU1530,0.89,Ja
Hershey's Schokoriegel,SKU1531,1.49,Ja
Reese's Peanut Butter Cups,SKU1532,1.99,Ja
Ferrero Rocher,SKU1533,2.99,Ja
Gummibärchen,SKU1534,0.99,Ja
Haribo Fruchtgummi,SKU1535,1.19,Ja
Toblerone Schokolade,SKU1536,2.49,Ja
Maoam Fruchtgummi,SKU1537,0.79,Ja
Ritter Sport Schokolade,SKU1538,1.79,Ja
Nestlé Smarties,SKU1539,0.99,Ja
Katjes Fruchtgummi,SKU1540,1.29,Ja
Milka Alpenmilch Schokolade,SKU1541,1.69,Ja
Giotto,SKU1542,2.29,Ja
Bounty Riegel,SKU1543,1.49,Ja
After Eight Minzschokolade,SKU1544,1.99,Ja
Cadbury Dairy Milk Schokolade,SKU1545,1.79,Ja
Kinder Country Riegel,SKU1546,1.29,Ja
Lakritz Bonbons,SKU1547,1.19,Ja
Jelly Belly Jelly Beans,SKU1548,2.49,Ja
Milky Way Riegel,SKU1549,0.99,Ja
Nimm2 Bonbons,SKU1550,1.29,Ja
Mentos Kaugummi,SKU1551,0.99,Ja
Kinder Schokobons,SKU1552,1.79,Ja
Hershey's Kisses,SKU1553,1.49,Ja
Lindt Excellence Schokolade,SKU1554,2.99,Ja
Twix White Riegel,SKU1555,1.09,Ja
Trolli Sour Brite Crawlers,SKU1556,1.29,Ja
Milka Oreo Schokolade,SKU1557,1.99,Ja
Nestlé Lion Riegel,SKU1558,1.39,Ja
Ferrero Küsschen,SKU1559,2.49,Ja
Sour Patch Kids Fruchtgummi,SKU1560,1.49,Ja
Raffaello,SKU1561,3.49,Ja
Mars Riegel,SKU1562,0.89,Ja
Kinder Maxi King,SKU1563,1.69,Ja
Storck Toffifee,SKU1564,1.99,Ja
Skittles Crazy Sours,SKU1565,1.29,Ja
