Produktname,SKU,Preis (€),Verfügbarkeit
Tiefkühlpizza Margherita,SKU1411,2.99,Ja
Gemüsemischung,SKU1412,1.49,Ja
Eiscreme Vanille,SKU1413,3.49,Ja
Tiefkühlgemüse,SKU1414,2.29,Ja
Fischstäbchen,SKU1415,4.99,Ja
Pommes Frites,SKU1416,1.79,Ja
Tiefkühlpizza Salami,SKU1417,3.49,Ja
Erdbeer-Milchshake,SKU1418,2.99,Ja
Spinatportionen,SKU1419,1.99,Ja
Hühnerfrikadellen,SKU1420,3.29,Ja
Tiefkühlbeerenmischung,SKU1421,2.49,Ja
Blätterteigpasteten,SKU1422,3.79,Ja
Brokkoli-Röschen,SKU1423,2.79,Ja
Lasagne,SKU1424,4.49,Ja
Tiefkühlpizza Hawaii,SKU1425,3.99,Ja
Gefrorene Himbeeren,SKU1426,3.29,Ja
Fischfilets,SKU1427,5.49,Ja
Schokoladeneis,SKU1428,4.29,Ja
Gemüsebratlinge,SKU1429,3.99,Ja
Tiefkühlpizza Thunfisch,SKU1430,4.49,Ja
Garnelenspieße,SKU1431,7.99,Ja
Gemüsequiche,SKU1432,3.79,Ja
Chicken Nuggets,SKU1433,3.99,Ja
Erdbeer-Rhabarber-Kuchen,SKU1434,4.99,Ja
Gemüsepfanne,SKU1435,2.99,Ja
Tiefkühlpizza Vegetarisch,SKU1436,3.79,Ja
Pilzsuppe,SKU1437,2.49,Ja
Tiefkühltorte Schwarzwälder Kirschtorte,SKU1438,5.99,Ja
Grüner Smoothie,SKU1439,3.29,Ja
Gemüse-Nuggets,SKU1440,3.49,Ja
Pizza Tonno,SKU1441,3.99,Ja
Gemüseburger,SKU1442,4.49,Ja
Blattspinat,SKU1443,1.99,Ja
Eiscreme Schokolade,SKU1444,3.49,Ja
Pommes mit Ketchup,SKU1445,2.29,Ja
Tiefkühlpizza BBQ Chicken,SKU1446,4.29,Ja
Beerenmix,SKU1447,2.99,Ja
Fischfilets in Knoblauchbutter,SKU1448,6.99,Ja
Gemüselasagne,SKU1449,4.99,Ja
Erdbeer-Joghurt-Eis,SKU1450,4.29,Ja
Gemüsesuppe,SKU1451,3.79,Ja
Kartoffelpuffer,SKU1452,2.49,Ja
Gefrorene Pfirsiche,SKU1453,3.99,Ja
Tiefkühlpizza Vier Käse,SKU1454,3.79,Ja
Spinat-Ricotta-Ravioli,SKU1455,5.49,Ja
Hähnchenschnitzel,SKU1456,5.99,Ja
Blumenkohlröschen,SKU1457,1.79,Ja
Eiscreme Erdbeere,SKU1458,3.49,Ja
Gemüseburger,SKU1459,4.49,Ja
Tiefkühlpizza Gemüse,SKU1460,4.29,Ja
Gemüse-Smoothie,SKU1461,3.99,Ja
Broccoli,SKU1462,1.99,Ja
Fischstäbchen,SKU1463,4.99,Ja
Mango-Sorbet,SKU1464,3.79,Ja
Gefrorene Blaubeeren,SKU1465,4.49,Ja
Chicken Wings,SKU1466,6.49,Ja
Eiscreme Cookies & Cream,SKU1467,4.29,Ja
Gemüsesuppe,SKU1468,3.49,Ja
Pizza Vegetarisch,SKU1469,3.99,Ja
Gemüsecurry,SKU1470,4.79,Ja
Chicken Nuggets,SKU1471,3.99,Ja
Himbeer-Sorbet,SKU1472,3.79,Ja
Gefrorene Mango-Stücke,SKU1473,3.99,Ja
Erdbeer-Rhabarber-Pie,SKU1474,5.49,Ja
Tiefkühlpizza Peperoni,SKU1475,4.29,Ja
Gemüse-Tortellini,SKU1476,5.99,Ja
Fischfilet in Kräuterkruste,SKU1477,7.49,Ja
Gemüse-Nudelauflauf,SKU1478,4.99,Ja
Eiscreme Pistazie,SKU1479,4.49,Ja
Brokkoli,SKU1480,2.49,Ja
Gemüselasagne,SKU1481,3.99,Ja
Tiefkühlpizza Pepperoni,SKU1482,3.49,Ja
Gemüsemix,SKU1483,2.29,Ja
Eiscreme Schoko-Minz,SKU1484,3.79,Ja
Pommes Frites,SKU1485,1.99,Ja
Hähnchen-Nuggets,SKU1486,4.49,Ja
Tiefkühlpizza Supreme,SKU1487,4.99,Ja
Eiscreme Mango,SKU1488,3.49,Ja
Blattspinat,SKU1489,1.79,Ja
Fischstäbchen,SKU1490,5.49,Ja
Gemüsepfanne,SKU1491,3.29,Ja
Hähnchenbrustfilet,SKU1492,6.99,Ja
Tiefkühlpizza Gemüse,SKU1493,4.29,Ja
Eiscreme Haselnuss,SKU1494,4.29,Ja
Gefrorene Himbeeren,SKU1495,3.99,Ja
Blumenkohlröschen,SKU1496,1.49,Ja
Gemüsequiche,SKU1497,3.99,Ja
Fischfilet,SKU1498,6.49,Ja
Schokoladeneis,SKU1499,4.49,Ja
Gemüseburger,SKU1500,3.99,Ja
Tiefkühlpizza Vier Jahreszeiten,SKU1501,4.79,Ja
Erdbeer-Joghurt-Eis,SKU1502,3.99,Ja
Gefrorene Erdbeeren,SKU1503,4.99,Ja
Chicken Wings,SKU1504,7.99,Ja
Gemüsesuppe,SKU1505,2.99,Ja
Tiefkühlpizza Tonno,SKU1506,3.79,Ja
Eiscreme Cookie Dough,SKU1507,4.79,Ja
Gemüsecurry,SKU1508,4.99,Ja
Fischburger,SKU1509,5.99,Ja
Blattspinat mit Sahne,SKU1510,2.49,Ja
Tiefkühlpizza Champignon,SKU1511,3.49,Ja
Gemüse-Nuggets,SKU1512,4.29,Ja
Vanilleeis,SKU1513,3.49,Ja
Brokkoliröschen,SKU1514,1.89,Ja
Tiefkühlpizza Hawaii,SKU1515,3.99,Ja
Erdbeersorbet,SKU1516,3.29,Ja
Gemüseravioli,SKU1517,4.49,Ja
Chicken Nuggets,SKU1518,4.99,Ja
Eiscreme Erdbeer,SKU1519,3.79,Ja
Gefrorene Mangostücke,SKU1520,3.49,Ja
